month,revenue
2009-12,686654.1599999949
2010-01,557319.0620000134
2010-02,506371.06600001536
2010-03,699608.9909999889
2010-04,594609.1919999976
2010-05,599985.7900000075
2010-06,639066.5800000058
2010-07,591636.7400000024
2010-08,604242.6499999989
2010-09,831615.0009999905
2010-10,1036679.9999999028
2010-11,1172336.0419998672
2010-12,884591.8899999729
2011-01,569445.0400000077
2011-02,447137.3500000165
2011-03,595500.760000013
2011-04,469200.3610000132
2011-05,678594.5600000018
2011-06,661213.6900000115
2011-07,600091.0110000141
2011-08,645343.900000009
2011-09,952838.3819999965
2011-10,1039318.7899999822
2011-11,1161817.3799999433
2011-12,518210.7900000037
