Country,revenue
United Kingdom,14723147.517001621
EIRE,621631.1100000079
Netherlands,554232.3400000036
Germany,431262.4610000011
France,355257.46999999764
Australia,169968.10999999967
Spain,109178.52999999905
Switzerland,100365.33999999978
Sweden,91549.71999999994
Denmark,69862.18999999999
Belgium,65753.42000000032
Norway,60109.620000000155
Portugal,57285.3000000002
Japan,47138.38999999996
Channel Islands,44996.76000000027
Italy,32550.420000000024
Finland,29925.539999999968
Singapore,25317.059999999976
Cyprus,24980.130000000045
Austria,23613.01000000004
Greece,19096.19000000003
Poland,10902.449999999988
Israel,10421.089999999995
United Arab Emirates,9202.689999999988
Unspecified,8613.649999999987
USA,8366.859999999993
Malta,8099.089999999998
Lithuania,6553.740000000002
Iceland,5633.3199999999915
Canada,4883.039999999998
Thailand,3070.539999999998
RSA,1933.7400000000005
Lebanon,1693.8800000000003
Brazil,1411.87
Bahrain,1354.37
European Community,1300.2500000000002
Korea,1118.51
Czech Republic,826.7400000000001
West Indies,536.4099999999999
Saudi Arabia,145.92
Nigeria,140.39
